CustomerID;CustomerName;BillToCustomerID;CustomerCategoryID;BuyingGroupID;PrimaryContactPersonID;AlternateContactPersonID;DeliveryMethodID;DeliveryCityID;PostalCityID;CreditLimit;AccountOpenedDate;StandardDiscountPercentage;IsStatementSent;IsOnCreditHold;PaymentDays;PhoneNumber;FaxNumber;DeliveryRun;RunPosition;WebsiteURL;DeliveryAddressLine1;DeliveryAddressLine2;DeliveryPostalCode;DeliveryLocation;PostalAddressLine1;PostalAddressLine2;PostalPostalCode;LastEditedBy;ValidFrom;ValidTo
1;Tailspin Toys (Head Office);1;3;1;1001;1002;3;19586;19586;;2013-01-01;,000;False;False;7;(308) 555-0100;(308) 555-0101;;;http://www.tailspintoys.com;Shop 38;1877 Mittal Road;90410;PO Box 8975;Ribeiroville;90410;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
2;Tailspin Toys (Sylvanite, MT);1;3;1;1003;1004;3;33475;33475;;2013-01-01;,000;False;False;7;(406) 555-0100;(406) 555-0101;;;http://www.tailspintoys.com/Sylvanite;Shop 245;705 Dita Lane;90216;PO Box 259;Jogiville;90216;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
3;Tailspin Toys (Peeples Valley, AZ);1;3;1;1005;1006;3;26483;26483;;2013-01-01;,000;False;False;7;(480) 555-0100;(480) 555-0101;;;http://www.tailspintoys.com/PeeplesValley;Unit 217;1970 Khandke Road;90205;PO Box 3648;Lucescuville;90205;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
4;Tailspin Toys (Medicine Lodge, KS);1;3;1;1007;1008;3;21692;21692;;2013-01-01;,000;False;False;7;(316) 555-0100;(316) 555-0101;;;http://www.tailspintoys.com/MedicineLodge;Suite 164;967 Riutta Boulevard;90152;PO Box 5065;Maciasville;90152;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
5;Tailspin Toys (Gasport, NY);1;3;1;1009;1010;3;12748;12748;;2013-01-01;,000;False;False;7;(212) 555-0100;(212) 555-0101;;;http://www.tailspintoys.com/Gasport;Unit 176;1674 Skujins Boulevard;90261;PO Box 6294;Kellnerovaville;90261;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
6;Tailspin Toys (Jessie, ND);1;3;1;1011;1012;3;17054;17054;;2013-01-01;,000;False;False;7;(701) 555-0100;(701) 555-0101;;;http://www.tailspintoys.com/Jessie;Shop 196;483 Raut Lane;90298;PO Box 571;Booseville;90298;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
7;Tailspin Toys (Frankewing, TN);1;3;1;1013;1014;3;12152;12152;;2013-01-01;,000;False;False;7;(423) 555-0100;(423) 555-0101;;;http://www.tailspintoys.com/Frankewing;Shop 27;904 Kellnerova Street;90761;PO Box 5684;Ghoshville;90761;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
8;Tailspin Toys (Bow Mar, CO);1;3;1;1015;1016;3;3673;3673;;2013-01-01;,000;False;False;7;(303) 555-0100;(303) 555-0101;;;http://www.tailspintoys.com/BowMar;Shop 282;752 Shaker Doust Boulevard;90484;PO Box 614;Vachaville;90484;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
9;Tailspin Toys (Netcong, NJ);1;3;1;1017;1018;3;23805;23805;;2013-01-01;,000;False;False;7;(201) 555-0100;(201) 555-0101;;;http://www.tailspintoys.com/Netcong;Shop 33;25 Kasesalu Street;90129;PO Box 8369;Bouleville;90129;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
10;Tailspin Toys (Wimbledon, ND);1;3;1;1019;1020;3;37403;37403;;2013-01-01;,000;False;False;7;(701) 555-0100;(701) 555-0101;;;http://www.tailspintoys.com/Wimbledon;Unit 67;372 Joo Lane;90061;PO Box 8702;Rajuville;90061;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
11;Tailspin Toys (Devault, PA);1;3;1;1021;1022;3;8987;8987;;2013-01-01;,000;False;False;7;(215) 555-0100;(215) 555-0101;;;http://www.tailspintoys.com/Devault;Unit 250;1432 Pullela Street;90185;PO Box 2676;Rautville;90185;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
12;Tailspin Toys (Biscay, MN);1;3;1;1023;1024;3;3081;3081;;2013-01-01;,000;False;False;7;(218) 555-0100;(218) 555-0101;;;http://www.tailspintoys.com/Biscay;Suite 67;413 Keskkula Lane;90054;PO Box 5649;Klausville;90054;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
13;Tailspin Toys (Stonefort, IL);1;3;1;1025;1026;3;32887;32887;;2013-01-01;,000;False;False;7;(217) 555-0100;(217) 555-0101;;;http://www.tailspintoys.com/Stonefort;Suite 185;1492 Shah Road;90685;PO Box 1618;Hanville;90685;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
14;Tailspin Toys (Long Meadow, MD);1;3;1;1027;1028;3;19908;19908;;2013-01-01;,000;False;False;7;(240) 555-0100;(240) 555-0101;;;http://www.tailspintoys.com/LongMeadow;Unit 221;151 Vasiljevic Road;90633;PO Box 2724;Viidingville;90633;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
15;Tailspin Toys (Batson, TX);1;3;1;1029;1030;3;2111;2111;;2013-01-01;,000;False;False;7;(210) 555-0100;(210) 555-0101;;;http://www.tailspintoys.com/Batson;Shop 124;671 Mudigonda Boulevard;90631;PO Box 1645;Acharyaville;90631;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
16;Tailspin Toys (Coney Island, MO);1;3;1;1031;1032;3;7409;7409;;2013-01-01;,000;False;False;7;(314) 555-0100;(314) 555-0101;;;http://www.tailspintoys.com/ConeyIsland;Suite 111;27 Vidovic Boulevard;90467;PO Box 260;Nishadville;90467;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
17;Tailspin Toys (East Fultonham, OH);1;3;1;1033;1034;3;9791;9791;;2013-01-01;,000;False;False;7;(216) 555-0100;(216) 555-0101;;;http://www.tailspintoys.com/EastFultonham;Unit 278;224 Hinojosa Road;90416;PO Box 7519;Gillville;90416;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
18;Tailspin Toys (Goffstown, NH);1;3;1;1035;1036;3;13304;13304;;2013-01-01;,000;False;False;7;(603) 555-0100;(603) 555-0101;;;http://www.tailspintoys.com/Goffstown;Unit 166;1822 Gruber Lane;90321;PO Box 3254;Linnaville;90321;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
